wall_1,_,_,_,_,_,_,_,_,_,_,_,_,_,lockedDoorFront,_,_,_,wall_1,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
wall_2,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,wall_2,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,_,_,_,_
lockedDoorLeft,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,lockedDoorRight,_,_,_
_,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,water,_,block,_,block,_,block,_,block,_,block,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,_,_,_,_
wall_2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,wall_2,_,_,_
_,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,block,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
wall_1,_,_,_,_,_,_,_,_,_,_,_,_,_,lockedDoorBack,_,_,_,wall_1,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
