wall_1,,,,,,,,,,,,,,wallFront,,,,wall_1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall_2,,,,water,,block,,water,,block,,water,,water,,water,,water,,block,,water,,block,,water,,wall_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,water,,water,,water,,water,,water,,water,,water,,water,,water,,water,,water,,water,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,block,,water,,block,,water,,block,,water,,water,,block,,water,,block,,water,,block,,
openDoorLeft,,,,,,,,,,,,,,,,,,,,,,,,,,,,openDoorRight
,,,,block,,block,,block,,block,,block,,block,,block,,block,,block,,block,,block,,block,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,block,,water,,block,,water,,block,,water,,water,,block,,water,,block,,water,,block,,
wall_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_2
,,,,water,,water,,water,,water,,water,,water,,water,,water,,water,,water,,water,,water,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,water,,block,,water,,block,,water,,water,,water,,water,,block,,water,,block,,water,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall_1,,,,,,,,,,,,,,wallBack,,,,wall_1,,,,,,,,,,
