wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,black,,black,,black,,black,,black,,black,,black,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,black,,black,,black,,black,,black,,black,,black,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,black,,black,,black,,black,,black,,black,,black,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,black,,black,,black,,black,,black,,black,,black,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,black,,wallGrey,,black,,black,,black,,black,,black,,black,,black,,wallGrey,,black,,black,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,black,,wallGrey,,black,,black,,black,,black,,black,,black,,black,,wallGrey,,black,,black,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
