wallBW,,wallBW,,wallBW,,stairBack,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,,,,,,,,,,,,,,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallGrey,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,black,,wallGrey,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,invisible,,wallGrey,,invisible,,invisible,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,black,,wallGrey,,,,,,,,,,,,,,,,wallGrey,,,,,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW,,wallBW
